"Block","Phase","Trial","RunningTime","Cue","Image","CorrResp","Resp","Accuracy","ISI","RT_from_CueOnset","ITI","subID"
1,1,1,0.5,3,4,4,4,1,1,3.45,0.5,2
1,1,2,5.28,1,2,2,2,1,1,2.57,1.5,2
1,1,3,11.07,1,1,1,2,0,1,2.13,1.5,2
1,1,4,16.85,1,1,1,1,1,1,2.42,0.5,2
1,1,5,21.64,1,2,2,2,1,1,2.36,1.5,2
1,1,6,27.42,1,1,1,1,1,1,2.56,0.5,2
1,1,7,32.2,1,2,2,2,1,1,2.23,1.5,2
1,1,8,37.99,4,4,4,4,1,1,2.39,0.5,2
1,1,9,42.77,3,4,4,4,1,1,2.33,3.5,2
1,1,10,50.55,3,3,3,3,1,1,2.41,4.5,2
1,1,11,59.34,3,3,3,3,1,1,2.48,0.5,2
1,1,12,64.12,2,2,2,2,1,1,2.43,1.5,2
1,1,13,69.91,3,4,4,3,0,1,2.13,1.5,2
1,1,14,75.69,2,2,2,2,1,1,2.44,0.5,2
1,1,15,80.47,2,1,1,1,1,1,2.35,3.5,2
1,1,16,88.26,3,4,4,4,1,1,2.51,1.5,2
1,1,17,94.04,3,3,3,3,1,1,2.31,4.5,2
1,1,18,102.82,1,1,1,1,1,1,2.32,0.5,2
1,1,19,107.61,1,1,1,1,1,1,2.27,0.5,2
1,1,20,112.39,1,1,1,1,1,1,2.23,0.5,2
1,1,21,117.18,4,3,3,3,1,1,2.38,0.5,2
1,1,22,121.96,4,4,4,3,0,1,1.56,1.5,2
1,1,23,127.74,2,2,2,2,1,1,2.14,0.5,2
1,1,24,132.53,3,3,3,3,1,1,2.25,1.5,2
1,1,25,138.31,3,3,3,3,1,1,2.38,2.5,2
1,1,26,145.09,4,4,4,4,1,1,2.36,1.5,2
1,1,27,150.88,3,3,3,3,1,1,2.1,1.5,2
1,1,28,156.66,2,2,2,2,1,1,1.65,0.5,2
1,1,29,161.45,4,3,3,3,1,1,2.4,0.5,2
1,1,30,166.23,1,1,1,1,1,1,2.16,2.5,2
1,1,31,173.01,3,3,3,3,1,1,1.69,0.5,2
1,1,32,177.8,3,4,4,3,0,1,0.57,3.5,2
1,1,33,185.56,4,4,4,4,1,1,1.46,0.5,2
1,1,34,190.35,2,1,1,2,0,1,0.97,4.5,2
1,1,35,199.13,3,3,3,3,1,1,2.29,2.5,2
1,1,36,205.91,1,1,1,1,1,1,1.12,1.5,2
1,1,37,211.7,2,1,1,4,0,1,1.27,1.5,2
1,1,38,217.48,3,4,4,4,1,1,2.33,3.5,2
1,1,39,225.27,4,3,3,3,1,1,2.22,0.5,2
1,1,40,230.05,2,1,1,2,0,1,1.36,0.5,2
1,1,41,234.83,4,3,3,3,1,1,2.34,0.5,2
1,1,42,239.62,4,3,3,3,1,1,1.66,2.5,2
1,1,43,246.4,4,3,3,3,1,1,2.12,0.5,2
1,1,44,251.18,2,2,2,2,1,1,2.14,0.5,2
1,1,45,255.97,3,3,3,3,1,1,2.48,3.5,2
1,1,46,263.75,1,1,1,1,1,1,2.17,1.5,2
1,1,47,269.54,3,3,3,3,1,1,1.24,0.5,2
1,1,48,274.32,2,2,2,2,1,1,0.88,5.5,2
1,1,49,284.1,2,2,2,2,1,1,0.92,0.5,2
1,1,50,288.89,2,2,2,2,1,1,0.63,4.5,2
1,1,51,297.67,2,2,2,2,1,1,0.67,3.5,2
1,1,52,305.45,4,3,3,4,0,1,1.27,8,2
1,1,53,317.72,3,4,4,3,0,1,1.32,1.5,2
1,1,54,323.51,4,4,4,4,1,1,0.93,1.5,2
1,1,55,329.29,4,4,4,4,1,1,1.09,0.5,2
1,1,56,334.07,2,2,2,2,1,1,0.79,3.5,2
1,1,57,341.86,4,4,4,4,1,1,0.9,5.5,2
1,1,58,351.64,4,3,3,4,0,1,0.66,0.5,2
1,1,59,356.42,4,3,3,3,1,1,0.78,1.5,2
1,1,60,362.21,2,2,2,2,1,1,0.74,2.5,2
1,1,61,368.99,4,4,4,4,1,1,2.44,1.5,2
1,1,62,374.78,3,3,3,3,1,1,0.99,2.5,2
1,1,63,381.56,2,2,2,2,1,1,0.79,0.5,2
1,1,64,386.34,1,1,1,1,1,1,0.65,0.5,2
1,1,65,391.13,1,1,1,1,1,1,0.56,1.5,2
1,1,66,396.91,2,2,2,2,1,1,2.59,0.5,2
1,1,67,401.69,2,2,2,2,1,1,0.57,0.5,2
1,1,68,406.48,2,1,1,2,0,1,0.53,0.5,2
1,1,69,411.26,3,3,3,3,1,1,0.82,0.5,2
1,1,70,416.05,4,4,4,4,1,1,0.83,0.5,2
1,1,71,420.83,1,1,1,2,0,1,0.84,5.5,2
1,1,72,430.61,4,4,4,3,0,1,1.05,0.5,2
1,1,73,435.4,2,2,2,2,1,1,0.75,5.5,2
1,1,74,445.18,3,4,4,3,0,1,0.82,2.5,2
1,1,75,451.96,2,2,2,2,1,1,1.19,1.5,2
1,1,76,457.75,4,3,3,2,0,1,0.68,0.5,2
1,1,77,462.53,1,2,2,1,0,1,0.81,0.5,2
1,1,78,467.32,1,1,1,2,0,1,0.98,0.5,2
1,1,79,472.1,3,4,4,4,1,1,1.5,4.5,2
1,1,80,480.88,2,2,2,2,1,1,0.73,3.5,2
1,1,81,488.67,1,1,1,1,1,1,0.74,0.5,2
1,1,82,493.45,1,2,2,1,0,1,0.63,0.5,2
1,1,83,498.23,3,4,4,3,0,1,0.83,5.5,2
1,1,84,508.02,3,4,4,4,1,1,0.96,0.5,2
1,1,85,512.8,4,3,3,3,1,1,1.05,5.5,2
1,1,86,522.57,1,1,1,1,1,1,0.81,0.5,2
1,1,87,527.35,1,1,1,1,1,1,0.68,3.5,2
1,1,88,535.14,3,3,3,3,1,1,0.94,0.5,2
1,1,89,539.92,4,3,3,4,0,1,0.83,0.5,2
1,1,90,544.7,1,1,1,1,1,1,0.67,0.5,2
1,1,91,549.49,3,4,4,3,0,1,0.83,0.5,2
1,1,92,554.27,4,4,4,4,1,1,2.56,1.5,2
1,1,93,560.06,2,2,2,2,1,1,0.87,5.5,2
1,1,94,569.84,1,1,1,1,1,1,0.91,8,2
1,1,95,582.11,2,2,2,2,1,1,0.79,2.5,2
1,1,96,588.89,2,2,2,2,1,1,0.57,2.5,2
1,1,97,595.67,1,1,1,1,1,1,0.65,1.5,2
1,1,98,601.46,1,1,1,1,1,1,0.61,0.5,2
1,1,99,606.24,4,4,4,4,1,1,0.67,0.5,2
1,1,100,611.03,4,3,3,3,1,1,0.53,2.5,2
1,2,101,0.51,4,3,3,4,0,4,6.26,5.5,2
1,2,102,14.28,1,1,1,1,1,6,7.53,1.5,2
1,2,103,26.05,2,2,2,2,1,8,0.43,8,2
1,2,104,46.31,3,3,3,3,1,6,1.11,4.5,2
1,2,105,61.08,3,3,3,3,1,8,0.55,1.5,2
1,2,106,74.85,4,4,4,4,1,8,0.68,1.5,2
1,2,107,88.62,4,3,3,4,0,6,0.61,0.5,2
1,2,108,99.38,2,2,2,2,1,4,0.7,8,2
1,2,109,115.65,3,4,4,4,1,4,1.09,0.5,2
1,2,110,124.44,3,3,3,3,1,8,1.07,8,2
1,2,111,144.7,2,2,2,2,1,4,0.65,2.5,2
1,2,112,155.47,4,3,3,3,1,8,1.7,0.5,2
1,2,113,168.24,2,1,1,2,0,8,0.68,7.5,2
1,2,114,188.01,1,1,1,1,1,8,10.18,2.5,2
1,2,115,202.77,4,3,3,4,0,4,6.31,0.5,2
1,2,116,211.56,4,3,3,3,1,8,1.92,1.5,2
1,2,117,225.33,1,2,2,1,0,8,0.89,1.5,2
1,2,118,239.09,1,1,1,1,1,6,7.97,8,2
1,2,119,257.36,1,1,1,1,1,8,1.52,8,2
1,2,120,277.63,3,3,3,4,0,4,6.57,4.5,2
1,2,121,290.4,3,4,4,3,0,8,0.98,8,2
1,2,122,310.67,3,3,3,3,1,8,10.87,0.5,2
1,2,123,323.43,3,3,3,3,1,4,1.73,0.5,2
1,2,124,332.22,2,2,2,2,1,4,0.88,0.5,2
1,2,125,340.98,2,2,2,2,1,6,1.41,6.5,2
1,2,126,357.75,4,3,3,4,0,8,1.1,0.5,2
1,2,127,370.52,2,2,2,2,1,6,1.28,1.5,2
1,2,128,382.29,2,2,2,2,1,8,0.59,1.5,2
1,2,129,396.05,4,4,4,4,1,4,1.55,1.5,2
1,2,130,405.84,4,3,3,4,0,6,1.17,2.5,2
1,2,131,418.61,2,2,2,2,1,6,0.81,1.5,2
1,2,132,430.37,2,1,1,2,0,8,1.07,3.5,2
1,2,133,446.14,1,1,1,1,1,8,0.83,3.5,2
1,2,134,461.91,1,1,1,1,1,4,1.53,6.5,2
1,2,135,476.68,3,4,4,3,0,6,1.7,1.5,2
1,2,136,488.44,2,2,2,2,1,4,1.78,4.5,2
1,2,137,501.21,2,2,2,2,1,4,0.82,1.5,2
1,2,138,511,4,4,4,4,1,6,1.68,5.5,2
