subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,1300,0,0,0,1,0,1,0,16650,17950,1,NaN
1,717,1,0,1,0,1,0,1,20915,21632,0,1
1,1083,1,0,0,1,2,1,0,24214,25297,0,0
1,567,1,0,1,0,2,1,0,28196,28763,0,1
1,916,1,0,1,0,0,1,0,31662,32578,0,1
1,617,1,0,1,0,1,0,1,35427,36044,0,1
1,733,1,0,0,1,2,1,0,39076,39809,0,0
1,750,1,0,0,1,1,1,0,42758,43508,0,0
1,1100,1,0,0,1,0,1,0,46224,47324,0,0
1,833,1,0,1,0,0,0,1,50123,50956,0,1
1,933,0,1,0,1,0,0,1,54005,54938,0,1
1,917,1,0,0,1,0,1,0,57753,58670,0,0
1,683,1,0,1,0,2,0,1,61236,61919,0,1
1,617,1,0,1,0,1,0,1,64751,65368,0,1
1,700,0,1,0,1,0,0,1,68067,68767,0,1
1,949,0,1,0,1,1,0,1,71716,72665,0,1
1,683,1,0,0,1,0,0,1,75481,76164,0,0
1,950,0,1,0,1,2,1,0,78713,79663,0,1
1,1083,0,1,0,1,1,0,1,82329,83412,0,1
1,900,1,0,1,0,1,0,1,86344,87244,0,1
1,683,0,1,0,1,0,0,1,89926,90609,0,1
1,883,1,0,1,0,2,0,1,93625,94508,0,1
1,1016,0,1,1,0,1,1,0,97307,98323,0,0
1,650,1,0,1,0,2,0,1,101039,101689,0,1
1,1083,0,1,0,1,0,0,1,104621,105704,0,1
1,800,0,1,0,1,1,1,0,108370,109170,0,1
1,1183,0,1,0,1,0,0,1,112136,113319,0,1
1,633,1,0,1,0,2,0,1,115968,116601,0,1
1,850,0,1,0,1,0,1,0,119183,120033,0,1
1,1066,0,1,0,1,1,0,1,122932,123998,0,1
1,584,1,0,1,0,2,0,1,126947,127531,0,1
1,916,0,1,0,1,1,0,1,130130,131046,0,1
1,766,1,0,1,0,0,1,0,133862,134628,0,1
1,750,1,0,1,0,1,0,1,137494,138244,0,1
1,983,0,1,0,1,1,1,0,141243,142226,0,1
1,766,0,1,0,1,2,0,1,145075,145841,0,1
1,766,0,1,0,1,0,1,0,148757,149523,0,1
1,1149,0,1,0,1,2,1,0,152123,153272,0,1
1,733,1,0,1,0,2,0,1,156188,156921,0,1
1,583,1,0,1,0,2,0,1,159537,160120,0,1
1,800,1,0,1,0,2,0,1,163052,163852,0,1
1,716,1,0,1,0,2,1,0,166468,167184,0,1
1,1200,0,1,0,1,2,0,1,170083,171283,0,1
1,966,0,1,0,1,0,0,1,174232,175198,0,1
1,1033,0,1,0,1,0,1,0,177881,178914,0,1
1,683,1,0,1,0,0,1,0,181463,182146,0,1
1,950,0,1,0,1,2,0,1,185178,186128,0,1
1,1033,0,1,1,0,0,1,0,188911,189944,0,0
1,1000,0,1,1,0,2,1,0,192576,193576,0,0
1,899,0,1,0,1,1,1,0,196575,197474,0,1
1,933,1,0,1,0,0,1,0,200407,201340,0,1
1,700,0,1,0,1,0,1,0,204255,204955,0,1
1,567,1,0,1,0,2,0,1,207554,208121,0,1
1,666,0,1,0,1,0,0,1,210987,211653,0,1
1,633,1,0,1,0,2,0,1,214402,215035,0,1
1,683,1,0,1,0,1,0,1,217968,218651,0,1
1,633,0,1,0,1,2,1,0,221467,222100,0,1
1,650,1,0,1,0,1,1,0,224815,225465,0,1
1,667,0,1,0,1,0,1,0,228364,229031,0,1
1,866,0,1,0,1,1,0,1,231880,232746,0,1
1,650,0,1,0,1,1,1,0,235745,236395,0,1
1,617,1,0,1,0,2,0,1,239144,239761,0,1
1,650,1,0,1,0,2,1,0,242443,243093,0,1
1,883,1,0,1,0,0,1,0,245759,246642,0,1
1,833,0,1,0,1,1,1,0,249241,250074,0,1
1,599,0,1,1,0,2,1,0,252840,253439,0,0
1,950,1,0,0,1,0,1,0,255972,256922,0,0
1,833,1,0,1,0,0,0,1,259954,260787,0,1
1,784,1,0,1,0,2,1,0,263519,264303,0,1
1,617,1,0,1,0,2,0,1,267118,267735,0,1
1,767,0,1,0,1,2,1,0,270550,271317,0,1
1,850,0,1,0,1,2,1,0,273949,274799,0,1
1,1016,0,1,0,1,0,0,1,300239,301255,0,1
1,700,0,1,0,1,1,0,1,303854,304554,0,1
1,783,0,1,0,1,1,0,1,307186,307969,0,1
1,500,1,0,1,0,2,0,1,310802,311302,0,1
1,667,0,1,0,1,2,1,0,314017,314684,0,1
1,966,0,1,0,1,1,0,1,317583,318549,0,1
1,700,0,1,0,1,2,1,0,321282,321982,0,1
1,650,1,0,1,0,2,1,0,324547,325197,0,1
